"8230337045","0","seattle"
"8230337045","1","museum"
"8230337045","2","machine"
"8230337045","3","planes"
"8231397586","0","seattle"
"8231397586","1","museum"
"8231397586","2","thingsinplaces"
"8231397198","0","museum"
"8231397198","1","ruby"
"8230334599","0","museum"
"8231395940","0","seattle"
"8231395940","1","museum"
"8231395940","2","thingsinplaces"
"8231394954","0","seattle"
"8231394954","1","museum"
"8231394954","2","plane"
"8231396500","0","seattle"
"8231396500","1","museum"
"8231396500","2","ruby"
"8231396500","3","thefam"
"8231395532","0","museum"
"8231395532","1","toilet"
"8231395532","2","planes"
"8231395532","3","thingsinplaces"
"8230335467","0","seattle"
"8230335467","1","museum"
"8230335467","2","thingsinplaces"
"8230335655","0","seattle"
"8230335655","1","museum"
"8230335655","2","ruby"
"8230335655","3","thefam"
"8231394210","0","museum"
"8231394210","1","machine"
"8231394446","0","museum"
"8231394446","1","thingsinplaces"
"8230305023","0","seattle"
"8230305023","1","blackandwhite"
"8230305023","2","bw"
"8230305023","3","white"
"8230305023","4","black"
"8230305023","5","horizontal"
"8230305023","6","wall"
"8230305023","7","contrast"
"8230305023","8","poster"
"8230305023","9","concert"
"8230305023","10","downtown"
"8230305023","11","image"
"8230305023","12","rf"
"8230305023","13","rageagainstthemachine"
"8230305023","14","stockphoto"
"8230305023","15","rm"
"8230305023","16","ratm"
"8230305023","17","royaltyfree"
"8230305023","18","rightsmanaged"
"4448590529","0","seattle"
"4448590529","1","war"
"4448590529","2","wamp"
"4448590529","3","pnwhs"
"4448590729","0","seattle"
"4448590729","1","war"
"4448590729","2","wamp"
"4448590729","3","pnwhs"
"4448590729","4","housingsummit"
"6248438427","0","justin"
"6248438427","1","wwii"
"6248438427","2","vessel"
"6248438427","3","westseattle"
"6248438427","4","sunk"
"6248438427","5","bulkhead"
"6248438427","6","beachdrive"
"6248438427","7","waterfrontconstruction"
"6248438633","0","justin"
"6248438633","1","wwii"
"6248438633","2","vessel"
"6248438633","3","westseattle"
"6248438633","4","sunk"
"6248438633","5","bulkhead"
"6248438633","6","beachdrive"
"6248438633","7","waterfrontconstruction"
"4449368796","0","seattle"
"4449368796","1","canon"
"4449368796","2","capitolhill"
"4449368796","3","canoneosrebelt1i"
"4449367696","0","seattle"
"4449367696","1","war"
"4449367696","2","wamp"
"4449367696","3","pnwhs"
"4449367696","4","housingsummit"
"4449367892","0","seattle"
"4449367892","1","war"
"4449367892","2","wamp"
"4449367892","3","pnwhs"
"4449367892","4","housingsummit"
"4449367470","0","seattle"
"4449367470","1","war"
"4449367470","2","wamp"
"4449367470","3","pnwhs"
"4449367470","4","housingsummit"
"6248446723","0","square"
"6248446723","1","squareformat"
"6248446723","2","rise"
"6248446723","3","iphoneography"
"6248446723","4","instagramapp"
"6248446723","5","uploaded:by=instagram"
"6248970070","0","seattle"
"6248970070","1","food"
"6248970070","2","money"
"6248970070","3","night"
"6248970070","4","hope"
"6248970070","5","50mm"
"6248970070","6","evening"
"6248970070","7","place"
"6248970070","8","market"
"6248970070","9","homeless"
"6248970070","10","clean"
"6248970070","11","pike"
"6248970070","12","jobless"
"6248970070","13","kenyan"
"6248970070","14","18g"
"6248970070","15","d700"
"6248967272","0","moblog"
"6248967272","1","maggie"
"6248967272","2","iphone"
"6248967272","3","rockbox"
"4448590591","0","seattle"
"4448590591","1","war"
"4448590591","2","wamp"
"4448590591","3","pnwhs"
"4448590591","4","housingsummit"
"6248964080","0","justin"
"6248964080","1","wwii"
"6248964080","2","vessel"
"6248964080","3","westseattle"
"6248964080","4","sunk"
"6248964080","5","bulkhead"
"6248964080","6","beachdrive"
"6248964080","7","waterfrontconstruction"
"4448578229","0","seattle"
"4448578229","1","wa"
"4448578229","2","fishermensterminal"
"6248964292","0","justin"
"6248964292","1","wwii"
"6248964292","2","vessel"
